id,supplierType,code,companyName,companyRegNo,countryRegistered,companyAddr,companyUnitNo,companyPostalCode,companyPhone,companyEmail,companyWebsite,contactFname,contactLname,contactPhone,contactNationality,contactIdType,contactId,contacIdExpiry,contactOccupation,contactDesignation,liscProviderName,remitLiscNum,remitLiscExpiry,liscDocUrl,isPayoutPartner,activeStatus
0,1,AG-CORP-7362204V,BlogXS,88327414Y,China,6 Mcbride Hill,79-583,,813-600-3739,aabdey0@ox.ac.uk,http://skyrock.com,Ashlee,Abdey,972-899-8485,Haitian Creole,FIN,T36859525Z,13/3/2030,Social Worker,Specialist,Iguana iguana,57815486X,20/12/2040,http://soundcloud.com,y,2
1,1,AG-CORP-9134762S,Meeveo,01058071K,Thailand,3 Thierer Terrace,94-561,95140,875-137-7501,dfendlen1@github.io,https://rakuten.co.jp,Dacia,Fendlen,637-357-5483,Moldovan,Permanent Resident Card,L69715324O,13/8/2028,General Manager,Manager,Zosterops pallidus,60901760E,1/6/2032,https://hud.gov,n,2
2,1,AG-CORP-9049717D,Eidel,80902485L,China,1660 Kings Parkway,65-441,,207-330-1180,ldayes2@arstechnica.com,http://moonfruit.com,Laura,Dayes,118-220-8259,Bulgarian,Identification Card,L17161327V,25/11/2022,Design Engineer,Specialist,Suricata suricatta,41143059Z,18/6/2039,http://devhub.com,y,2
3,1,AG-CORP-9898349R,Kazu,65108484Q,China,6843 Algoma Drive,57-338,,448-813-2046,cbritian3@amazon.co.uk,http://boston.com,Crista,Britian,989-462-3167,Dari,Passport,A56520215G,8/9/2028,Clinical Specialist,Director,Cercopithecus aethiops,90895180P,19/3/2030,https://ycombinator.com,n,2
4,1,AG-CORP-0318946O,Twimbo,61335607F,China,439 Calypso Way,78-230,,152-309-5397,eemmott4@sakura.ne.jp,http://deliciousdays.com,Eddy,Emmott,428-895-4422,Tamil,Social Security Card,J31979288J,11/8/2023,Clinical Specialist,Director,Lorythaixoides concolor,34780899M,15/4/2019,http://altervista.org,n,0
5,1,AG-CORP-5484253F,Skinder,03278918A,China,5560 Susan Avenue,46-940,,254-821-1092,kconrad5@oaic.gov.au,https://ovh.net,Kacy,Conrad,821-898-8160,Somali,Birth Certificate,X62111796N,5/9/2022,Assistant Professor,Director,Branta canadensis,28767252X,10/11/2027,https://constantcontact.com,y,2
6,1,AG-CORP-8527450Z,Voonyx,05086497I,China,52 Corry Terrace,34-963,,824-642-1544,kdebrick6@ihg.com,http://google.ru,Kelvin,Debrick,470-226-3307,Marathi,Identification Card,V81499274L,19/10/2041,Web Designer II,Assistant,Cercopithecus aethiops,44447949V,4/1/2032,http://friendfeed.com,n,2
7,1,AG-CORP-7339274H,Blogtag,56159240M,China,8045 Summer Ridge Court,47-939,,853-630-7616,lmonteath7@businessinsider.com,https://creativecommons.org,Lillian,Monteath,436-901-6956,Assamese,Senior Citizen ID,G86531518Z,16/10/2022,Recruiter,Specialist,Cordylus giganteus,47848178Q,3/7/2035,https://flickr.com,y,1
8,1,AG-CORP-7444382J,Youspan,97166946V,China,5280 Lillian Alley,54-135,,136-502-6183,mbalchen8@nsw.gov.au,http://creativecommons.org,Moreen,Balchen,177-388-5616,Maltese,NRIC,N62307480A,15/5/2024,Human Resources Manager,Specialist,Ovis ammon,90617589D,5/4/2040,https://1und1.de,y,2
9,1,AG-CORP-0598872B,Centimia,11514313Z,China,43 Crescent Oaks Alley,24-883,,499-571-9079,lboutell9@chron.com,https://t-online.de,Linnell,Boutell,419-328-0600,Hiri Motu,Tax Payer ID,V03990977O,17/8/2017,Tax Accountant,CEO,Buteo galapagoensis,65038062A,24/5/2042,https://google.cn,y,2
10,1,AG-CORP-5359127H,Kanoodle,08558022A,China,602 Hauk Junction,73-788,,931-998-3015,rratleea@gov.uk,https://harvard.edu,Rodolph,Ratlee,808-555-1012,Georgian,PAN Card,A75680427J,5/1/2019,Mechanical Systems Engineer,CEO,Anthropoides paradisea,15614257L,25/3/2031,https://taobao.com,y,1
11,1,AG-CORP-6015285M,Voonte,77903930Q,China,589 Harper Hill,34-737,,434-471-8769,hstallionb@cnet.com,http://feedburner.com,Harriet,Stallion,520-297-2779,Gujarati,Singapore Work Permit,G28559473F,4/6/2019,Help Desk Technician,Director,Eudyptula minor,88044830N,19/4/2035,https://amazon.co.uk,y,2
12,1,AG-CORP-0987438B,Tanoodle,17636149R,China,58 David Plaza,10-206,,174-594-6658,cduckelsc@hhs.gov,http://domainmarket.com,Calli,Duckels,223-390-5367,Catalan,NRIC,S53993282P,29/12/2027,Social Worker,Specialist,Ciconia episcopus,61593692Z,28/2/2026,https://eventbrite.com,y,2
13,1,AG-CORP-2799364P,Ooba,52618983P,China,42 Talmadge Hill,92-195,,921-283-5861,mdibdalld@marketwatch.com,https://ucsd.edu,Marius,Dibdall,433-105-8675,English,FIN,A52524136L,28/7/2025,Community Outreach Specialist,Director,Pytilia melba,04190739X,25/11/2033,https://weibo.com,y,2
14,1,AG-CORP-3984244B,Jaxnation,36929976X,Thailand,909 Dahle Drive,00-321,10240,869-846-2108,rcoltharde@bloomberg.com,http://uiuc.edu,Ramsey,Colthard,350-534-5850,West Frisian,Passport,N64177965T,22/9/2035,Recruiter,Manager,Cathartes aura,58483031M,1/5/2021,https://globo.com,y,2
15,1,AG-CORP-7991817E,Flipbug,61161359M,China,7427 Di Loreto Crossing,73-543,,948-900-8195,tswynf@elegantthemes.com,http://washington.edu,Tommie,Swyn,606-661-5800,Greek,Social Security Card,X58314656J,23/12/2042,Graphic Designer,Manager,Tiliqua scincoides,03050901O,25/11/2043,https://google.com.au,n,2
16,1,AG-CORP-8912162M,Mynte,92253287J,United States,937 School Drive,35-713,71213,318-763-9291,sdinapolig@freewebs.com,https://google.ru,Seka,Di Napoli,179-498-1789,Spanish,Social Security Card,W56161371W,19/12/2029,Human Resources Assistant I,CEO,Aegypius tracheliotus,57370829K,11/7/2021,https://fema.gov,y,2
17,1,AG-CORP-5405388B,Gigaclub,37037724L,United States,1 Center Place,37-932,80915,719-658-4450,chindesh@utexas.edu,https://whitehouse.gov,Celinka,Hindes,417-434-9566,Albanian,Permanent Resident Card,C38648691H,12/11/2039,Junior Executive,Specialist,Marmota caligata,96774703O,27/9/2029,https://accuweather.com,y,2
18,1,AG-CORP-8480280W,Agimba,42768323E,China,3941 Doe Crossing Court,84-073,,706-325-9336,cbourdicei@nymag.com,http://fema.gov,Chiquita,Bourdice,467-713-3599,Danish,Passport,W41965243E,25/10/2036,Cost Accountant,Manager,Ara chloroptera,82902154Z,23/11/2042,https://addthis.com,n,2
19,1,AG-CORP-0246540B,Fanoodle,87816719E,China,643 Northridge Road,13-469,,533-865-9162,jthorpj@ucoz.com,http://ameblo.jp,Jammal,Thorp,531-145-9690,Bislama,Voter Identification Card,E81918802O,18/12/2024,Human Resources Assistant III,CEO,Tyto novaehollandiae,06725274V,8/2/2044,https://lulu.com,y,2
20,1,AG-CORP-5472602K,Pixonyx,35823857J,China,744 Corry Trail,13-067,,324-351-6470,mkuhnkek@indiatimes.com,http://ftc.gov,Mikey,Kuhnke,885-421-3619,Persian,Singapore Work Permit,L19273569V,29/12/2032,Pharmacist,Director,Propithecus verreauxi,62876061Z,23/11/2032,https://omniture.com,y,2
21,1,AG-CORP-1387674F,Mynte,92757163H,China,9 Fieldstone Parkway,84-561,,522-557-7797,mextalll@berkeley.edu,http://bluehost.com,Myranda,Extall,724-615-7735,Malagasy,NRIC,T25471207S,13/11/2041,Web Designer III,CEO,Callipepla gambelii,73781821F,12/4/2032,https://xing.com,y,1
22,1,AG-CORP-3277487E,Pixoboo,18464483P,China,82388 Harper Street,96-642,,408-752-3160,aellitm@pen.io,https://wikispaces.com,Alfie,Ellit,804-661-2886,Moldovan,FIN,G41068880L,15/8/2032,Assistant Media Planner,Assistant,Meleagris gallopavo,87260812I,24/10/2039,http://dell.com,n,1
23,1,AG-CORP-0231355B,Leenti,75579953Z,China,84319 Sundown Terrace,64-761,,144-508-1824,otegellern@adobe.com,http://about.com,Oliviero,Tegeller,755-533-8513,Chinese,Identification Card,A34358343C,21/10/2021,Safety Technician I,Assistant,Kobus defassa,23671429T,23/3/2044,http://sun.com,y,2
24,1,AG-CORP-8844359B,Realbuzz,36599582O,United States,70 4th Court,89-204,92105,619-161-7665,mlakero@nydailynews.com,https://house.gov,Mirelle,Laker,989-941-2978,Polish,NRIC,Q90562996S,15/11/2032,Biostatistician IV,Manager,Phacochoerus aethiopus,70599969G,8/7/2027,http://t.co,y,2
25,1,AG-CORP-4249888N,Rhyloo,37502990Z,China,81718 Debs Trail,80-777,,100-590-7007,ohuardp@youku.com,http://so-net.ne.jp,Olvan,Huard,327-524-3085,Telugu,Village Elder ID,J00307676A,10/6/2034,Junior Executive,Specialist,Aonyx cinerea,05047712D,23/1/2027,https://sitemeter.com,y,2
26,1,AG-CORP-0148841G,Eazzy,54519114M,China,798 3rd Hill,82-594,,750-518-8770,glilbourneq@mayoclinic.com,http://uol.com.br,Gay,Lilbourne,157-734-6681,Dhivehi,Health Insurance Card,L32936022A,31/7/2021,Web Developer IV,Assistant,Dasyurus maculatus,63227372T,19/8/2037,https://opera.com,y,1
27,1,AG-CORP-9870225U,Rhybox,67515565W,China,785 Almo Alley,85-800,,528-170-0892,jwapler@yandex.ru,https://alibaba.com,Johnna,Waple,211-308-2794,Oriya,Tax Payer ID,I97388940M,20/9/2021,Senior Developer,Specialist,Macropus giganteus,88815091U,23/4/2023,https://digg.com,y,2
28,1,AG-CORP-4706206L,Photojam,78645822Q,Thailand,485 Schiller Center,15-605,49150,159-386-6348,egreenleess@homestead.com,https://seesaa.net,Eward,Greenlees,645-555-5291,Catalan,Voter Identification Card,D51654704M,11/9/2043,Account Coordinator,Manager,Boa caninus,93455311O,12/7/2044,http://unesco.org,n,2
29,1,AG-CORP-1662518L,Jetwire,37129801O,China,803 Browning Plaza,85-806,,155-256-9487,gtippettst@unicef.org,https://twitter.com,Guenevere,Tippetts,829-516-3464,Korean,Birth Certificate,I78334427R,20/5/2041,Biostatistician II,Director,Halcyon smyrnesis,98599144A,23/10/2037,http://mapy.cz,n,2
30,1,AG-CORP-8798196P,Voonder,96526146Z,China,06717 Fieldstone Lane,35-410,,674-962-6032,ktorfinu@usatoday.com,http://princeton.edu,Kimmy,Torfin,150-654-5839,Gagauz,PAN Card,U02588098N,27/7/2040,Cost Accountant,Director,Cynictis penicillata,14887810S,10/1/2043,http://paginegialle.it,n,2
31,1,AG-CORP-4240125J,Babbleopia,72137861V,China,9475 North Drive,33-973,,822-116-6454,cdeavillev@spiegel.de,http://sohu.com,Cece,Deaville,729-237-4169,Malay,PAN Card,Y22634466P,28/1/2038,VP Quality Control,Manager,Bubalus arnee,21100560R,5/1/2024,https://google.com.hk,y,2
32,1,AG-CORP-9774491U,Fliptune,52765144H,China,98 La Follette Way,65-203,,283-553-4514,imulhollandw@freewebs.com,https://tmall.com,Ivan,Mulholland,806-581-6431,Tetum,Village Elder ID,R17936117M,26/12/2044,Biostatistician II,Specialist,Plegadis falcinellus,88561814Z,5/5/2020,https://intel.com,y,2
33,1,AG-CORP-1680399Q,Feedfish,73828408Y,China,91 Prairie Rose Center,74-991,,175-928-5652,cbreydinx@google.co.jp,https://state.gov,Callida,Breydin,165-997-6231,Hungarian,Employer ID Card,D39643746M,23/12/2029,Automation Specialist II,Assistant,Eumetopias jubatus,76917859Q,5/2/2027,http://biglobe.ne.jp,n,2
34,1,AG-CORP-6724211G,Wikibox,87891100I,China,5 Oak Valley Park,68-322,,887-194-3330,kgetleyy@npr.org,https://friendfeed.com,Kaylyn,Getley,381-628-3860,German,Senior Citizen ID,V44387163F,18/2/2022,Editor,Manager,Isoodon obesulus,29482001G,20/4/2032,https://gizmodo.com,y,2
35,1,AG-CORP-0166682G,Photofeed,76122929T,China,261 Farwell Plaza,87-245,,323-191-8605,iroscampsz@upenn.edu,https://jalbum.net,Iona,Roscamps,294-525-7473,Mongolian,FIN,S86877723S,16/10/2035,Actuary,CEO,Aonyx capensis,80849247I,2/7/2033,https://sogou.com,n,2
36,1,AG-CORP-0439927A,Realcube,29506046V,China,45773 Marcy Avenue,15-418,,768-769-4076,jtrice10@mozilla.com,http://wufoo.com,Joey,Trice,143-532-2952,Luxembourgish,Permanent Resident Card,I63835289W,22/2/2036,Administrative Assistant III,Assistant,Connochaetus taurinus,45692661U,2/3/2032,https://google.it,n,1
37,1,AG-CORP-1146638I,LiveZ,01460422E,China,59471 Merchant Alley,20-539,,314-952-9710,fwomersley11@go.com,http://wiley.com,Fancy,Womersley,331-575-1061,Kazakh,Identification Card,Q64678859T,21/6/2040,Director of Sales,Manager,Psophia viridis,72874071U,23/5/2022,https://cargocollective.com,n,2
38,1,AG-CORP-1311476M,Fivespan,00726125G,China,41 Upham Junction,75-872,,776-330-8720,atwort12@symantec.com,http://microsoft.com,Alberta,Twort,919-639-9993,Armenian,Voter Identification Card,L56462447N,26/3/2026,Food Chemist,Manager,Colaptes campestroides,22458173C,23/8/2028,https://intel.com,n,2
39,1,AG-CORP-1693817C,Dabshots,83573156R,United States,96714 Sommers Way,49-432,14905,607-516-5237,wellin13@ehow.com,http://storify.com,Wallace,Ellin,624-979-7996,Mongolian,Birth Certificate,Z27057076I,12/2/2025,Product Engineer,Specialist,Mazama gouazoubira,29225452W,3/4/2026,https://abc.net.au,y,2
40,1,AG-CORP-2267800E,Rhycero,97415175Z,China,0224 Emmet Park,91-963,,451-263-8755,gperkinson14@cbsnews.com,https://discuz.net,Genevieve,Perkinson,224-853-4767,Lithuanian,Passport,B26222477I,2/11/2026,Web Developer III,Specialist,Tringa glareola,36706675V,29/3/2041,https://indiatimes.com,y,1
41,1,AG-CORP-6123028U,Dabvine,49042185S,China,54 Kropf Street,88-692,,339-215-9572,hcannings15@slideshare.net,http://seesaa.net,Herminia,Cannings,398-650-9299,Portuguese,Tax Payer ID,L68475887H,26/8/2025,Professor,Assistant,Macropus robustus,21719539V,19/4/2043,https://miibeian.gov.cn,n,2
42,1,AG-CORP-1715678W,Skipfire,98863489F,China,428 Arkansas Place,35-437,,984-771-4749,wabrahamian16@ask.com,https://people.com.cn,Wallie,Abrahamian,978-288-2999,Bengali,Birth Certificate,Q47606762S,8/11/2039,Project Manager,Director,Falco peregrinus,93647479D,10/5/2030,http://oracle.com,n,2
43,1,AG-CORP-5873728X,Mybuzz,83125287V,United States,36407 Autumn Leaf Street,59-513,68505,402-391-6829,ftollmache17@ocn.ne.jp,http://123-reg.co.uk,Francisco,Tollmache,293-655-7537,Zulu,NRIC,J38525272Y,25/11/2017,Research Assistant I,CEO,Platalea leucordia,57075825J,11/5/2045,http://businessinsider.com,n,2
44,1,AG-CORP-1259403Q,Centimia,89725913E,China,706 Summit Circle,64-779,,140-914-5517,amcalroy18@nytimes.com,http://ox.ac.uk,Arlene,McAlroy,421-470-8401,Ndebele,Permanent Resident Card,T69943251A,8/11/2038,Help Desk Operator,Specialist,Irania gutteralis,70909164E,28/5/2039,https://fotki.com,y,2
45,1,AG-CORP-1199278V,Yozio,42092485Y,China,211 Sunbrook Drive,01-781,,312-520-1894,astorcke19@answers.com,http://yolasite.com,Abdul,Storcke,198-886-8469,Burmese,Permanent Resident Card,H63510999N,7/10/2034,Desktop Support Technician,Manager,Choloepus hoffmani,25938488B,2/8/2020,https://about.com,n,2
